"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FUNDC2",0.00120655610187253,-0.187210792540057,0.317,0.344,1
"PSMD2",0.00121629454295522,-0.197280497935004,0.376,0.402,1
"SDHD",0.00125820443404108,-0.257538476538579,0.238,0.264,1
"MAX",0.00127160170324282,-0.152762639610256,0.455,0.486,1
"UBE2J2",0.00129820943756362,-0.25700995200647,0.233,0.262,1
"TCF7",0.00135724863789366,0.107841951603543,0.345,0.314,1
"CTSA",0.00139395757244956,0.189694409829155,0.258,0.227,1
"TROVE2",0.00139617162306103,-0.272372915662579,0.26,0.286,1
"LRPAP1",0.00139715311987144,0.133356123241746,0.422,0.391,1
"COPS6",0.00139934836520213,-0.254741358145727,0.303,0.33,1
"ATP6AP1",0.00140420550224214,0.211441208046203,0.283,0.254,1
"NAP1L4",0.00143274938881524,0.120477810959807,0.459,0.431,1
"DNAAF2",0.0014615909064781,-0.209056240609685,0.223,0.252,1
"EIF5A",0.00146861271907099,-0.159418320900577,0.595,0.617,1
"PSMB8",0.00148784585867226,-0.155230869768001,0.483,0.51,1
"ACD",0.00149355175543845,0.158304828012541,0.288,0.257,1
"TMBIM6",0.00149907154627844,0.106869949570052,0.912,0.884,1
"CDV3",0.00158284288269057,-0.301635233524901,0.248,0.273,1
"FAM96B",0.00160168279437543,0.113084419110832,0.581,0.551,1
"ATP6V1F",0.00161357937281743,0.108993278902491,0.46,0.425,1
"RAB11B",0.00166491698995778,-0.196898795463512,0.376,0.403,1
"NDUFB1",0.00166539030759942,-0.243260621357193,0.293,0.319,1
"CLPP",0.00171422494880273,-0.206477377151005,0.337,0.36,1
"MARCKSL1",0.00174828299117696,0.169924163878634,0.395,0.364,1
"NEDD8",0.00177561341458332,-0.150373059432207,0.412,0.444,1
"TALDO1",0.00191009244511573,0.126829043534306,0.4,0.368,1
"DOK2",0.00192387843066948,-0.133469029260108,0.235,0.266,1
"NGRN",0.00201691156466309,-0.20928256614847,0.304,0.331,1
"LSM10",0.00203851843106423,-0.226973452475683,0.303,0.327,1
"RPN1",0.00205631119827725,0.110482523142247,0.605,0.569,1
"CALCOCO2",0.00208128068511509,0.167199953571986,0.291,0.26,1
"DAXX",0.0021099931374478,-0.263781184492672,0.244,0.268,1
"LAPTM4A",0.00211942251540829,0.136002740606987,0.57,0.546,1
"EWSR1",0.00215900274009461,-0.225845303925418,0.413,0.437,1
"DHX36",0.00224549461310911,-0.282380632191839,0.279,0.304,1
"ITGB2",0.00225870189230247,-0.233884359017341,0.266,0.294,1
"DAP3",0.00228261910513551,0.110956783166594,0.277,0.245,1
"NOP10",0.00236085308685856,0.101178698531424,0.534,0.499,1
"SNX17",0.00239786816953169,0.166914157388112,0.29,0.259,1
"PET100",0.00243182597146357,0.129702328738521,0.433,0.402,1
"SF1",0.0024547380959689,-0.11595697748931,0.781,0.79,1
"JMJD1C",0.00255868255054833,-0.202398510025389,0.334,0.364,1
"GTF2A2",0.00257594013562195,-0.16434660001209,0.362,0.385,1
"MRPS18C",0.00261626248287862,-0.254382581930816,0.254,0.276,1
"GNG5",0.00261988514838804,-0.104396134502113,0.652,0.679,1
"MRPS34",0.00263213224414687,-0.21521046102848,0.338,0.362,1
"DCAF7",0.00264433345425206,-0.27570167928626,0.298,0.321,1
"FBXO7",0.00283845782998107,-0.176743385066751,0.31,0.338,1
"SRSF11",0.00287661504610943,-0.147554371557956,0.582,0.605,1
"MRPS12",0.00290010085041929,-0.198426523889058,0.272,0.299,1
"ACIN1",0.00292445970502313,-0.295772189816942,0.277,0.301,1
"KTN1",0.00295875672184226,-0.127979941898354,0.578,0.599,1
"NXT1",0.00300547986801927,-0.222075804650348,0.24,0.262,1
"EID1",0.00313131920830935,0.135833186029117,0.393,0.362,1
"RIC8A",0.00316311290345251,-0.207542746392548,0.281,0.307,1
"COX14",0.00317331625802024,-0.136423240682768,0.419,0.443,1
"FAM32A",0.00324938084300163,-0.212270118420315,0.333,0.355,1
"PSMB7",0.00334738896616644,-0.240089961409201,0.242,0.267,1
"PSAP",0.00342217901444392,0.102565177551047,0.501,0.469,1
"EIF1AY",0.00351504452125356,-0.166911301787914,0.242,0.267,1
"RAB2A",0.00361965070108791,-0.194883115943939,0.324,0.346,1
"RNF125",0.00366357666525666,0.106696184409874,0.298,0.267,1
"ZNF292",0.00366686414584969,-0.325100230350901,0.269,0.291,1
"ASNA1",0.00374251035828535,-0.23034029501072,0.232,0.255,1
"COPB2",0.00393492893539953,-0.259422676451449,0.235,0.257,1
"HDLBP",0.00398018052552313,0.117617568442288,0.291,0.26,1
"EIF2S2",0.00399207703477872,-0.220842401404611,0.422,0.444,1
"ATP5J2",0.00406279194408282,-0.129610337779073,0.647,0.66,1
"PARP1",0.00410574284613623,-0.257720255825985,0.296,0.318,1
"SF3A3",0.00425102190515415,-0.223387795164876,0.3,0.323,1
"RANBP1",0.00434352457249412,0.111211477492139,0.394,0.363,1
"MRPS26",0.0044935231043667,-0.180184340984694,0.304,0.328,1
"COPS2",0.00456867763158323,-0.23766084257376,0.254,0.275,1
"UBE2K",0.00462428704831167,-0.186506548240073,0.284,0.31,1
"SLBP",0.00464577786181772,-0.100766343915244,0.492,0.523,1
"EIF4E2",0.00475186951919188,0.155862798128395,0.28,0.252,1
"C11orf73",0.0047676292704806,-0.227870746199264,0.24,0.263,1
"DPF2",0.00477362297819107,-0.275996283421897,0.243,0.266,1
"EIF4G1",0.00477566355796304,-0.16294552598149,0.281,0.308,1
"UFM1",0.004865258758715,-0.218850998639958,0.28,0.303,1
"PSMB6",0.00494027718564579,-0.142667843613902,0.541,0.555,1
"PPP1CB",0.00506797287388272,0.112341020458935,0.4,0.367,1
"CGGBP1",0.00508332082422302,-0.230123567598514,0.29,0.312,1
"ALKBH7",0.0051775941032901,0.161450799658165,0.251,0.225,1
"TAF1D",0.00544169776776327,-0.170242757692586,0.44,0.468,1
"UBE2G1",0.00558063978526582,-0.247931733363769,0.274,0.293,1
"BNIP2",0.00563307169007644,-0.216674504754668,0.279,0.303,1
"ASMTL",0.00579278934559035,0.19435088829976,0.271,0.245,1
"TMED5",0.00594756149113577,-0.160687970734154,0.357,0.381,1
"CFLAR",0.00597045491580674,-0.206645947772296,0.398,0.421,1
"BECN1",0.00618087995648435,0.133544164315556,0.257,0.23,1
"SEC11C",0.00637807838945187,-0.107032045204243,0.442,0.476,1
"OCIAD2",0.00682892880455508,-0.113707294537391,0.452,0.484,1
"TAF15",0.006957928333615,-0.191027749586003,0.314,0.339,1
